1.1854 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
7.9965 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([-1., -1., -1.]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000132D95B1828>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x00000132D819B588>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
7.9970 	EXP 	window1: mouseVisible = True
7.9970 	EXP 	window1: recordFrameIntervals = False
8.1626 	EXP 	window1: recordFrameIntervals = True
8.3473 	EXP 	window1: recordFrameIntervals = False
8.6113 	DEPRECATION 	'-1.0000, -1.0000, -1.0000' is not a valid rgb color
8.6753 	EXP 	Created fixation = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([0., 0., 0.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='taskSamples/Fixation.png', interpolate=True, mask=None, maskParams=None, name='fixation', opacity=0, ori=0.0, pos=array([0., 0.]), size=array([0.8, 0.7]), texRes=128.0, units='height', win=Window(...))
8.6772 	EXP 	Created image1 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='image1', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.8, 0.7]), texRes=128.0, units='height', win=Window(...))
8.6791 	EXP 	Created image = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='image', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.8, 0.7]), texRes=128.0, units='height', win=Window(...))
8.6810 	EXP 	Created image_2 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='image_2', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.8, 0.7]), texRes=128.0, units='height', win=Window(...))
8.7036 	EXP 	Imported trial.xlsx as conditions, 50 conditions, 8 params
8.7040 	EXP 	Created sequence: sequential, trialTypes=50, nReps=1, seed=None
8.7042 	EXP 	New trial (rep=0, index=0): {'trialN': 1, 'images1': 'taskSamples\\A6_1.png', 'duration1': 8, 'images2': None, 'duration2': 0, 'images3': None, 'duration3': 0, 'correctAns': 1}
8.7384 	EXP 	fixation: autoDraw = True
9.5276 	EXP 	fixation: autoDraw = False
9.5276 	EXP 	image1: autoDraw = True
17.5518 	EXP 	New trial (rep=0, index=1): {'trialN': 2, 'images1': 'taskSamples\\A20_2.png', 'duration1': 8, 'images2': None, 'duration2': 0, 'images3': None, 'duration3': 0, 'correctAns': 2}
17.5702 	EXP 	image1: autoDraw = False
17.5702 	EXP 	image1: autoDraw = False
17.5702 	EXP 	image: autoDraw = True
17.5702 	EXP 	image: autoDraw = False
17.5702 	EXP 	image: autoDraw = False
17.5702 	EXP 	image_2: autoDraw = True
17.5702 	EXP 	image_2: autoDraw = False
17.5702 	EXP 	image_2: autoDraw = False
17.5702 	EXP 	fixation: autoDraw = True
18.4136 	EXP 	fixation: autoDraw = False
18.4136 	EXP 	image1: autoDraw = True
26.4289 	EXP 	New trial (rep=0, index=2): {'trialN': 3, 'images1': 'taskSamples\\B17.png', 'duration1': 5, 'images2': None, 'duration2': 0, 'images3': None, 'duration3': 0, 'correctAns': 2}
26.4373 	EXP 	image1: autoDraw = False
26.4373 	EXP 	image1: autoDraw = False
26.4373 	EXP 	image: autoDraw = True
26.4373 	EXP 	image: autoDraw = False
26.4373 	EXP 	image: autoDraw = False
26.4373 	EXP 	image_2: autoDraw = True
26.4373 	EXP 	image_2: autoDraw = False
26.4373 	EXP 	image_2: autoDraw = False
26.4373 	EXP 	fixation: autoDraw = True
27.2652 	EXP 	fixation: autoDraw = False
27.2652 	EXP 	fixation: autoDraw = False
27.2652 	EXP 	image1: autoDraw = True
32.2672 	EXP 	New trial (rep=0, index=3): {'trialN': 4, 'images1': 'taskSamples\\B8.png', 'duration1': 5, 'images2': None, 'duration2': 0, 'images3': None, 'duration3': 0, 'correctAns': 2}
32.2891 	EXP 	image1: autoDraw = False
32.2891 	EXP 	image1: autoDraw = False
32.2891 	EXP 	image: autoDraw = True
32.2891 	EXP 	image: autoDraw = False
32.2891 	EXP 	image: autoDraw = False
32.2891 	EXP 	image_2: autoDraw = True
32.2891 	EXP 	image_2: autoDraw = False
32.2891 	EXP 	image_2: autoDraw = False
32.2891 	EXP 	fixation: autoDraw = True
33.1107 	EXP 	fixation: autoDraw = False
33.1107 	EXP 	image1: autoDraw = True
38.1496 	EXP 	New trial (rep=0, index=4): {'trialN': 5, 'images1': 'taskSamples\\C4_Spatial_ADD_1.png', 'duration1': 8, 'images2': 'taskSamples\\C4_Spatial_ADD_2.png', 'duration2': 2, 'images3': 'taskSamples\\C4_Spatial_ADD_3.png', 'duration3': 5, 'correctAns': 1}
38.1601 	EXP 	image1: autoDraw = False
38.1601 	EXP 	image1: autoDraw = False
38.1601 	EXP 	image: autoDraw = True
38.1601 	EXP 	image: autoDraw = False
38.1601 	EXP 	image: autoDraw = False
38.1601 	EXP 	image_2: autoDraw = True
38.1601 	EXP 	image_2: autoDraw = False
38.1601 	EXP 	image_2: autoDraw = False
38.1601 	EXP 	fixation: autoDraw = True
38.9818 	EXP 	fixation: autoDraw = False
38.9818 	EXP 	fixation: autoDraw = False
38.9818 	EXP 	image1: autoDraw = True
47.0177 	EXP 	image1: autoDraw = False
