trialN,images1,duration1,images2,duration2,images3,duration3,correctAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,fixation.stopped,image1.started,image1.stopped,key_resp_1.keys,key_resp_1.corr,key_resp_1.started,key_resp_1.stopped,image.started,image.stopped,image_2.started,image_2.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,taskSamples\A6_1.png,8,None,0,None,0,1,0,0,0,0,14.3892468000995,None,15.1610975000076,None,None,0,15.1610975000076,None,23.17512032001978,None,23.17512032001978,None,None,0,23.17512032001978,None,,001,2021_Aug_18_1627,taskSwitching,2021.2.1,59.656438565546026,
,,,,,,,,,,,,23.176034100004472,None,,,,,,,,,,,,,,,,,,,,,
