trialN,images1,duration1,images2,duration2,images3,duration3,correctAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,fixation.stopped,image1.started,image1.stopped,key_resp_1.keys,key_resp_1.corr,key_resp_1.started,key_resp_1.stopped,image.started,image.stopped,image_2.started,image_2.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,taskSamples\A6_1.png,8,None,0,None,0,1,0,0,0,0,6.397001400007866,None,7.168381300056353,None,None,0,7.168381300056353,None,15.175304229988251,None,15.175304229988251,None,None,0,15.175304229988251,None,,001,2021_Aug_18_1443,taskSwitching,2021.2.1,60.285669688015375,
2,taskSamples\A20_2.png,8,None,0,None,0,2,0,1,1,1,15.175353600061499,None,15.997023500036448,None,None,0,15.997023500036448,None,24.002832229982594,None,24.002832229982594,None,None,0,24.002832229982594,None,,001,2021_Aug_18_1443,taskSwitching,2021.2.1,60.285669688015375,
3,taskSamples\B17.png,5,None,0,None,0,2,0,2,2,2,24.00278320000507,None,24.82781619997695,None,None,0,24.82781619997695,None,29.85303983002668,None,29.85303983002668,None,None,0,29.85303983002668,None,,001,2021_Aug_18_1443,taskSwitching,2021.2.1,60.285669688015375,
4,taskSamples\B8.png,5,None,0,None,0,2,0,3,3,3,29.853143500047736,None,30.65803130005952,None,None,0,30.65803130005952,None,35.67379823004594,None,35.67379823004594,None,None,0,35.67379823004594,None,,001,2021_Aug_18_1443,taskSwitching,2021.2.1,60.285669688015375,
5,taskSamples\C4_Spatial_ADD_1.png,8,taskSamples\C4_Spatial_ADD_2.png,2,taskSamples\C4_Spatial_ADD_3.png,5,1,0,4,4,4,35.673375400016084,None,36.51196720008738,None,None,0,36.51196720008738,None,44.53064180002548,None,46.56670269998722,None,None,0,46.56670269998722,None,,001,2021_Aug_18_1443,taskSwitching,2021.2.1,60.285669688015375,
6,taskSamples\C3_Episodic_SUB_1.png,8,taskSamples\C3_Episodic_SUB_2.png,2,taskSamples\C3_Episodic_SUB_3.png,5,1,0,5,5,5,51.571103000082076,None,52.391928200027905,None,None,0,52.391928200027905,None,60.42809850000776,None,62.46338169998489,None,None,0,62.46338169998489,None,,001,2021_Aug_18_1443,taskSwitching,2021.2.1,60.285669688015375,
7,taskSamples\B18.png,5,None,0,None,0,2,0,6,6,6,67.50111559999641,None,68.32359100005124,None,None,0,68.32359100005124,None,73.32304913006956,None,73.32304913006956,None,None,0,73.32304913006956,None,,001,2021_Aug_18_1443,taskSwitching,2021.2.1,60.285669688015375,
,,,,,,,,,,,,73.33989900001325,None,,,,,,,,,,,,,,,,,,,,,
