40.2418 	EXP 	image1: autoDraw = True
48.2823 	EXP 	image1: autoDraw = False
48.2823 	EXP 	image1: autoDraw = False
48.2823 	EXP 	image: autoDraw = True
50.3174 	EXP 	image: autoDraw = False
50.3174 	EXP 	image: autoDraw = False
50.3174 	EXP 	image_2: autoDraw = True
55.3078 	EXP 	New trial (rep=0, index=5): {'trialN': 6, 'images1': 'taskSamples\\C3_Episodic_SUB_1.png', 'duration1': 8, 'images2': 'taskSamples\\C3_Episodic_SUB_2.png', 'duration2': 2, 'images3': 'taskSamples\\C3_Episodic_SUB_3.png', 'duration3': 5, 'correctAns': 1}
55.3219 	EXP 	image_2: autoDraw = False
55.3219 	EXP 	image_2: autoDraw = False
55.3219 	EXP 	fixation: autoDraw = True
56.1436 	EXP 	fixation: autoDraw = False
56.1436 	EXP 	image1: autoDraw = True
58.9060 	DATA 	Keypress: escape
59.4276 	EXP 	window1: mouseVisible = True
