images,texts,pos,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Task samples\相同颜色及位置1.png,11,"(0, 0.01)",0,0,0,0,7.088107899995521,None,,001,2021_Jul_27_1158,untitled,2021.2.1,60.18042091657257,
Task samples\相同颜色及位置2.png,12,"(0, 0.02)",0,1,1,1,8.027197599993087,None,,001,2021_Jul_27_1158,untitled,2021.2.1,60.18042091657257,
