images,texts,pos,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Cue.started,Cue.stopped,Fixation1.started,Fixation1.stopped,Trial1.started,Trial1.stopped,button_1.started,button_1.stopped,button_1.numClicks,button_1.timesOn,button_1.timesOff,button_2.started,button_2.stopped,button_2.numClicks,button_2.timesOn,button_2.timesOff,participant,session,date,expName,psychopyVersion,frameRate,
Task samples\相同颜色及位置6.png,16,"(0, 0.06)",0,0,0,5,7.0629605000140145,None,8.072052300034557,9.072940799989738,9.072940799989738,None,9.072940799989738,None,1,[1.6326748999999836],[1.6326778000220656],9.072940799989738,None,0,,,,001,2021_Jul_27_1426,Demo,2021.2.1,59.95254156965006,
Task samples\相同颜色及位置1.png,11,"(0, 0.01)",0,1,1,0,,,10.72734300000593,11.747777500015218,11.731093999987934,None,11.731093999987934,None,1,[1.6326748999999836],[1.6326778000220656],11.731093999987934,None,1,[0.9440355999977328],[0.9440382000175305],,001,2021_Jul_27_1426,Demo,2021.2.1,59.95254156965006,
Task samples\相同颜色及位置3.png,ddd,"(0, 0.03)",0,2,2,2,,,12.674985799996648,13.696724499983247,13.680671099980827,None,13.680671099980827,None,2,"[1.6326748999999836, 1.6923819000367075]","[1.6326778000220656, 1.692384399997536]",13.680671099980827,None,1,[0.9440355999977328],[0.9440382000175305],,001,2021_Jul_27_1426,Demo,2021.2.1,59.95254156965006,
Task samples\相同颜色及位置9.png,19,"(0, 0.09)",0,3,3,8,,,15.372716300014872,16.37696020002477,16.36035199998878,None,16.36035199998878,None,2,"[1.6326748999999836, 1.6923819000367075]","[1.6326778000220656, 1.692384399997536]",16.36035199998878,None,2,"[0.9440355999977328, 1.104618199984543]","[0.9440382000175305, 1.1046207000035793]",,001,2021_Jul_27_1426,Demo,2021.2.1,59.95254156965006,
Task samples\相同颜色及位置7.png,17,"(0, 0.07)",0,4,4,6,,,17.46544050000375,18.469583300000522,18.452788299997337,None,18.452788299997337,None,3,"[1.6326748999999836, 1.6923819000367075, 0.856573999975808]","[1.6326778000220656, 1.692384399997536, 0.8565880000242032]",18.452788299997337,None,2,"[0.9440355999977328, 1.104618199984543]","[0.9440382000175305, 1.1046207000035793]",,001,2021_Jul_27_1426,Demo,2021.2.1,59.95254156965006,
Task samples\相同颜色及位置8.png,18,"(0, 0.08)",0,5,5,7,,,19.308027999999467,20.35045149998041,20.35045149998041,None,20.35045149998041,None,3,"[1.6326748999999836, 1.6923819000367075, 0.856573999975808]","[1.6326778000220656, 1.692384399997536, 0.8565880000242032]",20.35045149998041,None,3,"[0.9440355999977328, 1.104618199984543, 1.5760978000471368]","[0.9440382000175305, 1.1046207000035793, 1.5761005000094883]",,001,2021_Jul_27_1426,Demo,2021.2.1,59.95254156965006,
Task samples\相同颜色及位置5.png,15,"(0, 0.05)",0,6,6,4,,,21.90612430003239,22.911124699981883,22.894517400010955,None,22.894517400010955,None,4,"[1.6326748999999836, 1.6923819000367075, 0.856573999975808, 0.6441154999774881]","[1.6326778000220656, 1.692384399997536, 0.8565880000242032, 0.6441287000197917]",22.894517400010955,None,3,"[0.9440355999977328, 1.104618199984543, 1.5760978000471368]","[0.9440382000175305, 1.1046207000035793, 1.5761005000094883]",,001,2021_Jul_27_1426,Demo,2021.2.1,59.95254156965006,
