images,texts,pos,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Fixation1.started,Fixation1.stopped,Trial1.started,Trial1.stopped,button_1.started,button_1.stopped,button_1.numClicks,button_1.timesOn,button_1.timesOff,button_2.started,button_2.stopped,button_2.numClicks,button_2.timesOn,button_2.timesOff,participant,session,date,expName,psychopyVersion,frameRate,
Task samples\相同颜色及位置5.png,15,"(0, 0.05)",0,0,0,4,14.105580599978566,15.10431789996801,15.08968479995383,None,15.08968479995383,None,1,[2.3113986999960616],[2.3114018000196666],15.08968479995383,None,0,,,,001,2021_Jul_27_1530,Demo,2021.2.1,59.63697780155931,
Task samples\相同颜色及位置7.png,17,"(0, 0.07)",0,1,1,6,17.41268189996481,18.434930099989288,18.417511299951002,None,18.417511299951002,None,1,[2.3113986999960616],[2.3114018000196666],18.417511299951002,None,1,[1.6449233999592252],[1.6449257999775],,001,2021_Jul_27_1530,Demo,2021.2.1,59.63697780155931,
