dotN,equations,numbers,field_position,pos1,pos2,correctR,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_3.started,text_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,polygon.started,polygon.stopped,dots.started,dots.stopped,equation.started,equation.stopped,number.started,number.stopped,key_resp.keys,key_resp.corr,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,8.624761500046588,None,1,1.9750718000577763,8.624761500046588,None,,,,,,,,,,,,,,001,2021_Aug_18_1657,untitled,2021.2.0,59.989729791796535,
9,5+3,9,"(0, 0.25)","(0.3, -0.25)","(-0.3, -0.25)",2,0,0,0,0,,,,,,,10.643207599991001,None,11.661167000071146,None,11.661167000071146,None,11.661167000071146,None,None,0,11.661167000071146,None,,001,2021_Aug_18_1657,untitled,2021.2.0,59.989729791796535,
5,4+2,6,"(0.3, -0.25)","(-0.3, -0.25)","(0, 0.25)",2,0,1,1,1,,,,,,,16.63623629999347,None,17.6329327999847,None,17.6329327999847,None,17.6329327999847,None,None,0,17.6329327999847,None,,001,2021_Aug_18_1657,untitled,2021.2.0,59.989729791796535,
5,2+2,4,"(0, 0.25)","(-0.3, -0.25)","(0.3, -0.25)",2,0,2,2,2,,,,,,,22.63675010006409,None,23.637778700096533,None,23.637778700096533,None,23.637778700096533,None,None,0,23.637778700096533,None,,001,2021_Aug_18_1657,untitled,2021.2.0,59.989729791796535,
7,2+6,7,"(-0.3, -0.25)","(0.3, -0.25)","(0, 0.25)",2,0,3,3,3,,,,,,,28.644374000024982,None,29.647160800057463,None,29.647160800057463,None,29.647160800057463,None,None,0,29.647160800057463,None,,001,2021_Aug_18_1657,untitled,2021.2.0,59.989729791796535,
3,1+2,3,"(-0.3, -0.25)","(0, 0.25)","(0.3, -0.25)",1,0,4,4,4,,,,,,,34.63223670003936,None,35.63364180002827,None,35.63364180002827,None,35.63364180002827,None,None,0,35.63364180002827,None,,001,2021_Aug_18_1657,untitled,2021.2.0,59.989729791796535,
4,3+1,4,"(0.3, -0.25)","(0, 0.25)","(-0.3, -0.25)",1,0,5,5,5,,,,,,,40.63645130000077,None,41.63837880000938,None,41.63837880000938,None,41.63837880000938,None,None,0,41.63837880000938,None,,001,2021_Aug_18_1657,untitled,2021.2.0,59.989729791796535,
8,2+6,8,"(-0.3, -0.25)","(0, 0.25)","(0.3, -0.25)",1,0,6,6,6,,,,,,,46.64564890007023,None,47.68581910000648,None,47.68581910000648,None,47.68581910000648,None,None,0,47.68581910000648,None,,001,2021_Aug_18_1657,untitled,2021.2.0,59.989729791796535,
7,4+3,7,"(0, 0.25)","(-0.3, -0.25)","(0.3, -0.25)",1,0,7,7,7,,,,,,,52.65445350005757,None,53.63702560006641,None,53.63702560006641,None,53.63702560006641,None,None,0,53.63702560006641,None,,001,2021_Aug_18_1657,untitled,2021.2.0,59.989729791796535,
6,3+2,5,"(0, 0.25)","(-0.3, -0.25)","(0.3, -0.25)",2,0,8,8,8,,,,,,,58.63962979998905,None,59.64200059999712,None,59.64200059999712,None,59.64200059999712,None,None,0,59.64200059999712,None,,001,2021_Aug_18_1657,untitled,2021.2.0,59.989729791796535,
3,1+3,4,"(0.3, -0.25)","(-0.3, -0.25)","(0, 0.25)",2,0,9,9,9,,,,,,,64.64232710003853,None,65.6433683000505,None,65.6433683000505,None,65.6433683000505,None,None,0,65.6433683000505,None,,001,2021_Aug_18_1657,untitled,2021.2.0,59.989729791796535,
6,5+1,6,"(-0.3, -0.25)","(0.3, -0.25)","(0, 0.25)",1,0,10,10,10,,,,,,,70.6311277000932,None,71.6322182000149,None,71.6322182000149,None,71.6322182000149,None,None,0,71.6322182000149,None,,001,2021_Aug_18_1657,untitled,2021.2.0,59.989729791796535,
8,5+4,8,"(-0.3, -0.25)","(0.3, -0.25)","(0, 0.25)",2,0,11,11,11,,,,,,,76.63644810009282,None,77.6373847000068,None,77.6373847000068,None,77.6373847000068,None,None,0,77.6373847000068,None,,001,2021_Aug_18_1657,untitled,2021.2.0,59.989729791796535,
9,6+3,9,"(0, 0.25)","(-0.3, -0.25)","(0.3, -0.25)",1,0,12,12,12,,,,,,,82.64356280001812,None,83.64438469999004,None,83.64438469999004,None,83.64438469999004,None,None,0,83.64438469999004,None,,001,2021_Aug_18_1657,untitled,2021.2.0,59.989729791796535,
5,2+3,5,"(0.3, -0.25)","(-0.3, -0.25)","(0, 0.25)",1,0,13,13,13,,,,,,,88.63604240003042,None,89.63697019999381,None,89.63697019999381,None,89.63697019999381,None,None,0,89.63697019999381,None,,001,2021_Aug_18_1657,untitled,2021.2.0,59.989729791796535,
