dotN,equations,numbers,field_position,pos1,pos2,correctR,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_3.started,text_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,polygon.started,polygon.stopped,dots.started,dots.stopped,equation.started,equation.stopped,number.started,number.stopped,key_resp.keys,key_resp.corr,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,7.042130500078201,None,1,10.768238299991935,7.042130500078201,None,,,,,,,,,,,,,,001,2021_Aug_17_1618,untitled,2021.2.1,60.51049068820109,
9,1+8,9,"(-0.3, -0.25)","(0.3, -0.25)","(0, 0.25)",1,0,0,0,34,,,,,,,17.868692900054157,None,18.869907499989495,None,18.869907499989495,None,18.869907499989495,None,None,0,18.869907499989495,None,,001,2021_Aug_17_1618,untitled,2021.2.1,60.51049068820109,
4,2+2,3,"(-0.3, -0.25)","(0, 0.25)","(0.3, -0.25)",2,0,1,1,18,,,,,,,23.84244569996372,None,24.844273900031112,None,24.844273900031112,None,24.844273900031112,None,None,0,24.844273900031112,None,,001,2021_Aug_17_1618,untitled,2021.2.1,60.51049068820109,
,,,,,,,,,,,,,,,,,29.847885800059885,None,,,,,,,,,,,,,,,,,
