dotN,equations,numbers,field_position,pos1,pos2,correctR,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_3.started,text_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,polygon.started,polygon.stopped,dots.started,dots.stopped,equation.started,equation.stopped,number.started,number.stopped,key_resp.keys,key_resp.corr,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,7.650706800050102,None,1,6.09860959998332,7.650706800050102,None,,,,,,,,,,,,,,001,2021_Aug_17_1612,untitled,2021.2.1,59.941185707339564,
4,3+1,4,"(0.3, -0.25)","(0, 0.25)","(-0.3, -0.25)",1,0,0,0,5,,,,,,,13.789360800059512,None,14.80668749997858,None,14.80668749997858,None,14.80668749997858,None,None,0,14.80668749997858,None,,001,2021_Aug_17_1612,untitled,2021.2.1,59.941185707339564,
5,4+1,5,"(0, 0.25)","(0.3, -0.25)","(-0.3, -0.25)",1,0,1,1,20,,,,,,,19.780890400055796,None,20.782128100050613,None,20.782128100050613,None,20.782128100050613,None,None,0,20.782128100050613,None,,001,2021_Aug_17_1612,untitled,2021.2.1,59.941185707339564,
9,5+4,9,"(-0.3, -0.25)","(0, 0.25)","(0.3, -0.25)",1,0,2,2,46,,,,,,,25.78904960001819,None,26.784235600032844,None,26.784235600032844,None,26.784235600032844,None,None,0,26.784235600032844,None,,001,2021_Aug_17_1612,untitled,2021.2.1,59.941185707339564,
5,2+3,5,"(0.3, -0.25)","(-0.3, -0.25)","(0, 0.25)",1,0,3,3,13,,,,,,,31.79348450002726,None,32.793431899975985,None,32.793431899975985,None,32.793431899975985,None,None,0,32.793431899975985,None,,001,2021_Aug_17_1612,untitled,2021.2.1,59.941185707339564,
