dotN,equations,numbers,field_position,pos1,pos2,correctR,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_3.started,text_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,polygon.started,polygon.stopped,dots.started,dots.stopped,equation.started,equation.stopped,number.started,number.stopped,key_resp.keys,key_resp.corr,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,49.43816590006463,None,1,1.1905079999705777,49.43816590006463,None,,,,,,,,,,,,,,001,2021_Aug_18_1640,untitled,2021.2.1,60.036009607170996,
9,5+3,9,"(0, 0.25)","(0.3, -0.25)","(-0.3, -0.25)",2,0,0,0,0,,,,,,,50.69258150004316,None,51.68973870004993,None,51.68973870004993,None,51.68973870004993,None,None,0,51.68973870004993,None,,001,2021_Aug_18_1640,untitled,2021.2.1,60.036009607170996,
5,4+2,6,"(0.3, -0.25)","(-0.3, -0.25)","(0, 0.25)",2,0,1,1,1,,,,,,,56.677465600077994,None,57.67900250002276,None,57.67900250002276,None,57.67900250002276,None,None,0,57.67900250002276,None,,001,2021_Aug_18_1640,untitled,2021.2.1,60.036009607170996,
5,2+2,4,"(0, 0.25)","(-0.3, -0.25)","(0.3, -0.25)",2,0,2,2,2,,,,,,,62.66627520008478,None,63.668682000017725,None,63.668682000017725,None,63.668682000017725,None,None,0,63.668682000017725,None,,001,2021_Aug_18_1640,untitled,2021.2.1,60.036009607170996,
7,2+6,7,"(-0.3, -0.25)","(0.3, -0.25)","(0, 0.25)",2,0,3,3,3,,,,,,,68.67162140004802,None,69.67387310008053,None,69.67387310008053,None,69.67387310008053,None,None,0,69.67387310008053,None,,001,2021_Aug_18_1640,untitled,2021.2.1,60.036009607170996,
3,1+2,3,"(-0.3, -0.25)","(0, 0.25)","(0.3, -0.25)",1,0,4,4,4,,,,,,,74.66166970005725,None,75.6615904000355,None,75.6615904000355,None,75.6615904000355,None,None,0,75.6615904000355,None,,001,2021_Aug_18_1640,untitled,2021.2.1,60.036009607170996,
4,3+1,4,"(0.3, -0.25)","(0, 0.25)","(-0.3, -0.25)",1,0,5,5,5,,,,,,,80.66836070001591,None,81.66673890000675,None,81.66673890000675,None,81.66673890000675,None,None,0,81.66673890000675,None,,001,2021_Aug_18_1640,untitled,2021.2.1,60.036009607170996,
8,2+6,8,"(-0.3, -0.25)","(0, 0.25)","(0.3, -0.25)",1,0,6,6,6,,,,,,,86.67234869999811,None,87.67318809998687,None,87.67318809998687,None,87.67318809998687,None,None,0,87.67318809998687,None,,001,2021_Aug_18_1640,untitled,2021.2.1,60.036009607170996,
7,4+3,7,"(0, 0.25)","(-0.3, -0.25)","(0.3, -0.25)",1,0,7,7,7,,,,,,,92.6778226000024,None,93.66202280006837,None,93.66202280006837,None,93.66202280006837,None,None,0,93.66202280006837,None,,001,2021_Aug_18_1640,untitled,2021.2.1,60.036009607170996,
6,3+2,5,"(0, 0.25)","(-0.3, -0.25)","(0.3, -0.25)",2,0,8,8,8,,,,,,,98.66577670001425,None,99.66735710005742,None,99.66735710005742,None,99.66735710005742,None,None,0,99.66735710005742,None,,001,2021_Aug_18_1640,untitled,2021.2.1,60.036009607170996,
3,1+3,4,"(0.3, -0.25)","(-0.3, -0.25)","(0, 0.25)",2,0,9,9,9,,,,,,,104.67249110003468,None,105.67105830006767,None,105.67105830006767,None,105.67105830006767,None,None,0,105.67105830006767,None,,001,2021_Aug_18_1640,untitled,2021.2.1,60.036009607170996,
6,5+1,6,"(-0.3, -0.25)","(0.3, -0.25)","(0, 0.25)",1,0,10,10,10,,,,,,,110.67737779999152,None,111.67730030009989,None,111.67730030009989,None,111.67730030009989,None,None,0,111.67730030009989,None,,001,2021_Aug_18_1640,untitled,2021.2.1,60.036009607170996,
8,5+4,8,"(-0.3, -0.25)","(0.3, -0.25)","(0, 0.25)",2,0,11,11,11,,,,,,,116.66714879998472,None,117.6690580000868,None,117.6690580000868,None,117.6690580000868,None,None,0,117.6690580000868,None,,001,2021_Aug_18_1640,untitled,2021.2.1,60.036009607170996,
9,6+3,9,"(0, 0.25)","(-0.3, -0.25)","(0.3, -0.25)",1,0,12,12,12,,,,,,,122.68834490003064,None,123.67328059999272,None,123.67328059999272,None,123.67328059999272,None,None,0,123.67328059999272,None,,001,2021_Aug_18_1640,untitled,2021.2.1,60.036009607170996,
5,2+3,5,"(0.3, -0.25)","(-0.3, -0.25)","(0, 0.25)",1,0,13,13,13,,,,,,,128.71055000007618,None,129.6613643000601,None,129.6613643000601,None,129.6613643000601,None,None,0,129.6613643000601,None,,001,2021_Aug_18_1640,untitled,2021.2.1,60.036009607170996,
9,4+5,9,"(-0.3, -0.25)","(0, 0.25)","(0.3, -0.25)",1,0,14,14,14,,,,,,,134.6658304000739,None,135.66679640009534,None,135.66679640009534,None,135.66679640009534,None,None,0,135.66679640009534,None,,001,2021_Aug_18_1640,untitled,2021.2.1,60.036009607170996,
