dotN,equations,numbers,field_position,pos1,pos2,correctR,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_3.started,text_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,polygon.started,polygon.stopped,dots.started,dots.stopped,equation.started,equation.stopped,number.started,number.stopped,key_resp.keys,key_resp.corr,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,6.253033900051378,None,1,1.5240591999609023,6.253033900051378,None,,,,,,,,,,,,,,001,2021_Aug_17_1616,untitled,2021.2.1,59.89831662441611,
8,3+6,9,"(0.3, -0.25)","(-0.3, -0.25)","(0, 0.25)",2,0,0,0,47,,,,,,,7.82620340003632,None,8.809487099992111,None,8.809487099992111,None,8.809487099992111,None,None,0,8.809487099992111,None,,001,2021_Aug_17_1616,untitled,2021.2.1,59.89831662441611,
5,4+1,6,"(0.3, -0.25)","(0, 0.25)","(-0.3, -0.25)",2,0,1,1,25,,,,,,,13.810552099952474,None,14.811252400046214,None,14.811252400046214,None,14.811252400046214,None,None,0,14.811252400046214,None,,001,2021_Aug_17_1616,untitled,2021.2.1,59.89831662441611,
3,1+2,3,"(-0.3, -0.25)","(0, 0.25)","(0.3, -0.25)",1,0,2,2,4,,,,,,,19.816103799967095,None,20.816777999978513,None,20.816777999978513,None,20.816777999978513,None,None,0,20.816777999978513,None,,001,2021_Aug_17_1616,untitled,2021.2.1,59.89831662441611,
,,,,,,,,,,,,,,,,,25.81220160005614,None,,,,,,,,,,,,,,,,,
